config_id,median_rank,mean_rank,worst_rank,folds_covered,top3_hits,top5_hits,top10_hits
0.2|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,19.0,45.8,109.0,5,1,2,2
0.2|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,19.0,45.8,109.0,5,1,2,2
0.3|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,23.0,49.8,125.0,5,0,0,0
0.3|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,23.0,49.8,125.0,5,0,0,0
0.3|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,27.0,51.8,115.0,5,1,1,2
0.3|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,27.0,51.8,115.0,5,1,1,2
0.2|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,29.0,58.6,125.0,5,0,0,0
0.2|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,29.0,58.6,125.0,5,0,0,0
0.2|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,31.0,36.2,73.0,5,0,1,2
0.2|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,31.0,36.2,73.0,5,0,1,2
0.2|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,33.0,52.6,113.0,5,0,0,0
0.2|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,33.0,52.6,113.0,5,0,0,0
0.3|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,35.0,55.8,111.0,5,1,1,1
0.3|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,35.0,55.8,111.0,5,1,1,1
0.3|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,37.0,37.8,79.0,5,1,1,1
0.3|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,37.0,37.8,79.0,5,1,1,1
0.3|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,37.0,51.0,125.0,5,0,0,0
0.3|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,37.0,51.0,125.0,5,0,0,0
0.3|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,37.0,63.4,127.0,5,0,0,0
0.3|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,37.0,63.4,127.0,5,0,0,0
0.12|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,39.0,59.8,123.0,5,0,0,0
0.12|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,39.0,59.8,123.0,5,0,0,0
0.12|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,41.0,65.0,125.0,5,0,0,0
0.12|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,41.0,65.0,125.0,5,0,0,0
0.3|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,43.0,47.0,67.0,5,0,0,0
0.3|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,43.0,47.0,67.0,5,0,0,0
0.12|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,45.0,51.0,111.0,5,0,0,1
0.12|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,45.0,51.0,111.0,5,0,0,1
0.12|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,45.0,59.0,119.0,5,1,1,1
0.12|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,45.0,59.0,119.0,5,1,1,1
0.3|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,47.0,62.2,119.0,5,0,0,0
0.3|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,47.0,62.2,119.0,5,0,0,0
0.1|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,47.0,69.4,127.0,5,0,0,0
0.1|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,47.0,69.4,127.0,5,0,0,0
0.1|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,49.0,57.8,103.0,5,0,0,0
0.1|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,49.0,57.8,103.0,5,0,0,0
0.1|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,49.0,60.2,117.0,5,1,1,1
0.1|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,49.0,60.2,117.0,5,1,1,1
0.3|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,51.0,57.8,77.0,5,0,0,0
0.3|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,51.0,57.8,77.0,5,0,0,0
0.2|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,51.0,60.2,105.0,5,0,0,1
0.2|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,51.0,60.2,105.0,5,0,0,1
0.3|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,53.0,54.2,123.0,5,0,0,0
0.3|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,53.0,54.2,123.0,5,0,0,0
0.2|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,53.0,56.6,73.0,5,0,0,0
0.2|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,53.0,56.6,73.0,5,0,0,0
0.3|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,53.0,65.4,117.0,5,0,0,0
0.3|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,53.0,65.4,117.0,5,0,0,0
0.2|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,55.0,62.2,119.0,5,0,0,0
0.2|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,55.0,62.2,119.0,5,0,0,0
0.2|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,57.0,61.8,83.0,5,0,0,0
0.2|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,57.0,61.8,83.0,5,0,0,0
0.12|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,57.0,79.8,121.0,5,0,0,0
0.12|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,57.0,79.8,121.0,5,0,0,0
0.3|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,59.0,59.4,113.0,5,0,0,1
0.3|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,59.0,59.4,113.0,5,0,0,1
0.1|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,59.0,60.6,109.0,5,0,1,1
