config_id,fold1_test2015,fold2_test2016,fold3_test2017,fold4_test2018,fold5_test2019
0.12|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,115.0,31.0,41.0,13.0,125.0
0.12|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,123.0,45.0,81.0,27.0,101.0
0.12|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,85.0,61.0,67.0,69.0,83.0
0.12|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,45.0,91.0,1.0,39.0,119.0
0.12|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,115.0,31.0,41.0,13.0,125.0
0.12|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,123.0,45.0,81.0,27.0,101.0
0.12|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,85.0,61.0,67.0,69.0,83.0
0.12|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,45.0,91.0,1.0,39.0,119.0
0.12|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,65.0,65.0,117.0,9.0,25.0
0.12|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,111.0,33.0,91.0,29.0,95.0
0.12|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,93.0,81.0,71.0,83.0,71.0
0.12|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,69.0,121.0,25.0,41.0,121.0
0.12|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,65.0,65.0,117.0,9.0,25.0
0.12|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,111.0,33.0,91.0,29.0,95.0
0.12|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,93.0,81.0,71.0,83.0,71.0
0.12|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,69.0,121.0,25.0,41.0,121.0
0.12|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,71.0,7.0,111.0,21.0,45.0
0.12|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,109.0,11.0,107.0,79.0,87.0
0.12|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,57.0,55.0,55.0,121.0,111.0
0.12|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,7.0,75.0,5.0,87.0,89.0
0.12|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,71.0,7.0,111.0,21.0,45.0
0.12|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,109.0,11.0,107.0,79.0,87.0
0.12|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,57.0,55.0,55.0,121.0,111.0
0.12|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,7.0,75.0,5.0,87.0,89.0
0.12|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,79.0,3.0,95.0,67.0,17.0
0.12|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,81.0,25.0,93.0,95.0,69.0
0.12|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,39.0,85.0,23.0,123.0,29.0
0.12|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,11.0,101.0,33.0,111.0,73.0
0.12|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,79.0,3.0,95.0,67.0,17.0
0.12|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,81.0,25.0,93.0,95.0,69.0
0.12|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,39.0,85.0,23.0,123.0,29.0
