variant,year,final_nav,total_return,sharpe_total,ir_excess,max_dd_total,mean_daily_total_r,mean_daily_excess_r,vol_daily_total_r,vol_daily_excess_r,avg_exposure,switch_count,tc_return_drag
baseline_no_protection,2020,0.8218195663038802,-0.1781804336961198,-0.5859788432384457,-0.6017108413732766,-0.30159829302387997,-0.0006726254635023542,-0.0006906512145753154,0.018221815232253656,0.018220958282359583,1.0,0,0.0
cooldown_42d_after_daily_loss_is_q05,2020,0.9893570483368347,-0.010642951663165312,-0.7477906826553402,-0.7731378734224569,-0.016347112875516268,-4.545432651496012e-05,-4.7171064712385e-05,0.0009649291981826613,0.0009685432101881572,0.017167381974248927,1,0.0025
binary_vol63_above_is_q75,2020,0.9322399733687635,-0.06776002663123648,-0.8324609116073304,-0.8851416174731221,-0.11129416799213143,-0.000286234693507639,-0.0003042604445806003,0.005458316216850021,0.005456736781526349,0.2703862660944206,1,0.0025
vol_inverse_63_is_median,2020,0.8796398061554905,-0.12036019384450947,-0.9874813387827739,-1.0221785839086164,-0.18286036649742543,-0.0005158354503140694,-0.0005338612013870307,0.008292444213544366,0.008290903345452183,0.5616933485928186,170,0.0032502002587026626
vol_inverse_21_is_median,2020,0.8592874281814948,-0.14071257181850516,-1.3871111030676908,-1.4165527104536415,-0.18083558025101742,-0.0006250272393128394,-0.0006381420171531662,0.007152995751555143,0.007151297933647825,0.4677289212417289,208,0.010715271526744782
momentum_21_below_is_q25,2020,0.7524557666263304,-0.2475442333736696,-1.449435302040396,-1.4681116776405103,-0.2966525337484639,-0.0011383811890790618,-0.0011529734637571736,0.012467780462876794,0.012466957792723918,0.4978540772532189,22,0.05500000000000001
binary_vol63_above_is_q90,2020,0.8675736676970804,-0.13242633230291956,-1.5652552184592052,-1.6135902693947626,-0.17294065883842702,-0.0005914995547569748,-0.0006095253058299361,0.005998871126075756,0.005996512525939381,0.2875536480686695,3,0.0075
binary_vol21_above_is_q75,2020,0.9048800980638495,-0.0951199019361505,-1.5812240055894369,-1.615992750813499,-0.1200907571229719,-0.0004200001068903499,-0.0004290129824268306,0.004216540463050385,0.004214356754316335,0.19313304721030042,7,0.0175
cooldown_21d_after_daily_loss_is_q05,2020,0.9646990412254557,-0.03530095877454431,-1.7025222164156137,-1.7188153502250947,-0.04086295366991699,-0.0001532093131638403,-0.00015492605136126518,0.0014285407988059375,0.001430854582908331,0.02575107296137339,3,0.0075
drawdown_below_fixed_10pct,2020,0.8511242034522302,-0.14887579654776983,-1.7903564764866589,-1.8390609481201767,-0.18862195896008638,-0.0006737673835251011,-0.0006917931345980624,0.00597407598450647,0.005971458188112322,0.2918454935622318,11,0.027500000000000004
