threshold,value
internal_median_vol_21,0.08645832292024258
internal_median_vol_63,0.09364915238158747
internal_q75_vol_21,0.12119107830813461
internal_q75_vol_63,0.12863478041243512
internal_q90_vol_21,0.15389556233427223
internal_q90_vol_63,0.15591853297219074
internal_q25_trailing_total_r_21,-0.01198257950218351
internal_q25_trailing_total_r_63,-0.011249707470123993
internal_q05_daily_total_r,-0.011178105045906935
internal_q01_daily_total_r,-0.01861675149588672
market_q75_vol_21,0.14549205562073947
market_q75_vol_63,0.15853852714199607
market_q90_vol_21,0.21372722522452187
market_q90_vol_63,0.20068998812322977
market_q10_drawdown,-0.07582150612303108
