variant,signal_type,year,n_days,final_nav,geom_avg_total_r,geom_avg_excess_r,sharpe,ir,max_dd,mean_exposure,switches,tc_drag
baseline_no_protection,baseline,2015,232,1.119921457220043,0.1309095539250933,0.1309095539250933,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0,0.0
baseline_no_protection,baseline,2016,233,0.9025205001010079,-0.10499632267026904,-0.10499632267026904,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0,0.0
baseline_no_protection,baseline,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
baseline_no_protection,baseline,2018,231,1.0790068135419166,0.08649163234252844,0.059461316851323165,1.1707564803218662,0.8262257902280294,-0.03658260136398983,1.0,0,0.0
baseline_no_protection,baseline,2019,232,1.104682703177862,0.11420455440167676,0.08648700858475888,0.9543835069877277,0.7461291581260938,-0.11800581337187177,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2015,232,1.119921457220043,0.1309095539250933,0.1309095539250933,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2016,233,0.9025205001010079,-0.10499632267026904,-0.10499632267026904,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2018,231,1.0790068135419166,0.08649163234252844,0.059461316851323165,1.1707564803218662,0.8262257902280294,-0.03658260136398983,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2019,232,1.104682703177862,0.11420455440167676,0.08648700858475888,0.9543835069877277,0.7461291581260938,-0.11800581337187177,1.0,0,0.0
combo_vol63_q90_either,combo_internal_external,2015,232,1.1017020105792565,0.11093937862406422,0.11093937862406422,1.1038636100486694,1.1038636100486694,-0.07293403387414588,0.771551724137931,2,0.005
combo_vol63_q90_either,combo_internal_external,2016,233,0.9118264072667202,-0.09501120819155873,-0.09501120819155873,-0.8773640455513457,-0.8773640455513457,-0.1418361929134473,0.721030042918455,2,0.005
