variant,signal_type,description,n_days,final_nav,geom_avg_total_r,geom_avg_excess_r,ann_vol_total_r,ann_vol_excess_r,sharpe,ir,max_dd,mean_exposure,min_exposure,pct_days_out,switches,tc_drag,tc_bps,ir_delta_vs_baseline,max_dd_delta_vs_baseline,sharpe_delta_vs_baseline
combo_vol63_q90_both,combo_internal_external,Exit only when both internal 63-day vol and S&P 500 63-day vol are above their IS q90,986,1.2751548418528649,0.06409296241919615,0.051011428421843696,0.1331630455156497,0.13318092355995959,0.5330583082077218,0.4401057334307129,-0.20335726313293512,0.7261663286004056,0.0,0.2738336713995943,10,0.025,25.0,0.20763012042575257,0.09786916627070585,0.21539748896315025
external_binary_market_vol63_above_is_q90,external_market,Exit when S&P 500 63-day realized vol is above IS q90,986,1.228657826238606,0.05403878576163823,0.04108085379757154,0.1254188734862004,0.12543374300470697,0.4822716949112872,0.3835968840714913,-0.14397793357108013,0.6602434077079108,0.0,0.33975659229208927,12,0.030000000000000002,25.0,0.15112127106653095,0.15724849583256084,0.16461087566671562
internal_binary_vol63_above_is_q90,internal_portfolio,Exit when internal 63-day vol is above IS q90,986,1.1709320165996744,0.041154537938477675,0.028776087586061205,0.09960326238243745,0.09960957446003711,0.45471488640711066,0.33460670376265134,-0.20893679211862737,0.5446247464503042,0.0,0.4553752535496957,8,0.02,25.0,0.102131090757691,0.0922896372850136,0.1370540671625391
combo_vol63_q90_either,combo_internal_external,Exit when either internal 63-day vol or S&P 500 63-day vol is above its IS q90,986,1.1282353632426905,0.03131709701747676,0.01905560555021868,0.08897282878003884,0.08897428932302101,0.39105636573294733,0.2566172371669609,-0.14997334369785265,0.4787018255578093,0.0,0.5212981744421906,10,0.025,25.0,0.024141624162000552,0.15125308570578833,0.07339554648837576
baseline_no_protection,baseline,No exposure scaling,986,1.185149809526525,0.044371055244601276,0.026637790542509032,0.2010764417379208,0.20109797478298286,0.31766081924457157,0.23247561300496034,-0.30122642940364097,1.0,1.0,0.0,0,0.0,25.0,0.0,0.0,0.0
internal_cooldown_42_after_q01_daily_loss,internal_portfolio,Exit for 42 trading days after internal daily loss below IS q01,986,1.0960386647141889,0.02371394949153527,0.012755262020430314,0.08933031019789117,0.0893649910184189,0.3069719944306836,0.18644958799278963,-0.1615057849922119,0.4543610547667343,0.0,0.5456389452332657,12,0.030000000000000002,25.0,-0.04602602501217071,0.13972064441142906,-0.010688824813887943
external_binary_market_vol21_above_is_q90,external_market,Exit when S&P 500 21-day realized vol is above IS q90,986,1.1204369660270772,0.029490503645915433,0.014415075439050629,0.14545346158290795,0.14549410191854298,0.2724885718910864,0.17105538789127286,-0.17240712660754987,0.7231237322515213,0.0,0.2768762677484787,18,0.045,25.0,-0.06142022511368747,0.1288193027960911,-0.045172247353485184
external_binary_market_drawdown_below_is_q10,external_market,Exit when S&P 500 drawdown is below IS q10,986,1.03022677651829,0.007639883217538834,0.000963667891446196,0.15938422418125503,0.15940194090505544,0.12886837616206528,0.08716679139058559,-0.23561602090107236,0.5760649087221096,0.0,0.4239350912778905,34,0.08499999999999999,25.0,-0.14530882161437475,0.0656104085025686,-0.18879244308250628
internal_inverse_vol63_to_is_median,internal_portfolio,Continuous inverse-vol scaling using internal 63-day vol to IS median,986,1.05479632431194,0.013727874783487248,0.0007634622898518018,0.10367291441062328,0.10369039871553239,0.1834380301107079,0.05929107089060734,-0.1915904683239642,0.6207373691626633,0.209407955202057,0.34685598377281945,892,0.016490166559706393,25.0,-0.173184542114353,0.10963596107967677,-0.13422278913386368
external_binary_market_vol63_above_is_q75,external_market,Exit when S&P 500 63-day realized vol is above IS q75,986,1.0333959288266403,0.008431185824531395,-0.00167471176809586,0.09642543347441891,0.09644619175762326,0.13526824968834728,0.03083089835967555,-0.16067990330668747,0.5081135902636917,0.0,0.4918864097363083,8,0.02,25.0,-0.20164471464528477,0.1405465260969535,-0.1823925695562243
internal_cooldown_21_after_q05_daily_loss,internal_portfolio,Exit for 21 trading days after internal daily loss below IS q05,986,1.0102863950438665,0.0026189714271234177,-0.0033095367366881012,0.05054141135950318,0.05056021816789898,0.07698520786743773,-0.04031768016727225,-0.07778189750549913,0.15821501014198783,0.0,0.8417849898580122,19,0.0475,25.0,-0.2727932931722326,0.22344453189814184,-0.24067561137713384
internal_inverse_vol21_to_is_median,internal_portfolio,Continuous inverse-vol scaling using internal 21-day vol to IS median,986,1.0116223556943311,0.0029576557227013467,-0.009458325195710215,0.09641662288878572,0.09643510703532623,0.07889950385510833,-0.05026453119978455,-0.19619350078238595,0.5947463008111689,0.12428765626909133,0.37018255578093306,907,0.0464347013457683,25.0,-0.2827401442047449,0.10503292862125502,-0.23876131538946324
internal_binary_vol63_above_is_q75,internal_portfolio,Exit when internal 63-day vol is above IS q75,986,1.0100529728610952,0.002559761501319313,-0.0071324830010705,0.07234221822470446,0.07237102805842471,0.07147076184507278,-0.06275458864409664,-0.15618750951348637,0.3103448275862069,0.0,0.6896551724137931,8,0.02,25.0,-0.295230201649057,0.1450389198901546,-0.24619005739949879
internal_binary_trailing_total21_below_is_q25,internal_portfolio,Exit when internal trailing 21-day total return is below IS q25,986,0.8435441379562907,-0.042552927882717806,-0.054009893006180865,0.14987777036422512,0.14986371165241993,-0.21355687525233896,-0.2939014122755212,-0.3808458350073166,0.678498985801217,0.0,0.32150101419878296,75,0.1875,25.0,-0.5263770252804816,-0.07961940560367564,-0.5312176944969105
internal_binary_vol21_above_is_q90,internal_portfolio,Exit when internal 21-day vol is above IS q90,986,0.9186137635501693,-0.021462239489813517,-0.03377037707063668,0.09922223473065706,0.09927192801413429,-0.16897074380371296,-0.2963251647412212,-0.2459526783524486,0.537525354969574,0.0,0.46247464503042596,26,0.065,25.0,-0.5288007777461816,0.055273751051192366,-0.48663156304828453
internal_binary_vol21_above_is_q75,internal_portfolio,Exit when internal 21-day vol is above IS q75,986,0.879829537228605,-0.03219138360667906,-0.04240318926580422,0.06837156638530037,0.06835797517855144,-0.44436137945911003,-0.59961071579288,-0.21314488154835465,0.3255578093306288,0.0,0.6744421906693712,40,0.1,25.0,-0.8320863287978403,0.08808154785528632,-0.7620221987036816
internal_binary_drawdown_below_minus_10pct,internal_portfolio,Exit when internal drawdown is below -10%,986,0.7755175048054401,-0.06290842586405698,-0.07764643489033174,0.11853116639658666,0.11854219149935119,-0.4885704387296211,-0.6221975890744993,-0.2850969760507862,0.5436105476673428,0.0,0.4563894523326572,34,0.085,25.0,-0.8546732020794596,0.01612945335285476,-0.8062312579741926
