episode,start,end,variant,first_fire_date,combo_vol_and_first_fire_date,lead_vs_combo_vol_and_days
IS_2016_Q1,2016-01-01,2016-06-30,internal_binary_vol63_above_is_q90,2016-03-07,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,external_binary_market_vol63_above_is_q90,did_not_fire,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,combo_vol63_q90_both,did_not_fire,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,spread_binary_trailing21_below_is_q10,2016-02-08,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,spread_binary_trailing63_below_is_q10,2016-03-08,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,spread_binary_vol63_above_is_q90,2016-03-09,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,combo_vol_and_or_spread21_q10,2016-02-08,did_not_fire,
IS_2016_Q1,2016-01-01,2016-06-30,combo_vol_and_or_spread63_q10,2016-03-08,did_not_fire,
OOS_2020_COVID,2020-02-01,2020-06-30,internal_binary_vol63_above_is_q90,2020-05-01,2020-05-01,0.0
OOS_2020_COVID,2020-02-01,2020-06-30,external_binary_market_vol63_above_is_q90,2020-05-01,2020-05-01,0.0
OOS_2020_COVID,2020-02-01,2020-06-30,combo_vol63_q90_both,2020-05-01,2020-05-01,0.0
OOS_2020_COVID,2020-02-01,2020-06-30,spread_binary_trailing21_below_is_q10,2020-04-13,2020-05-01,18.0
OOS_2020_COVID,2020-02-01,2020-06-30,spread_binary_trailing63_below_is_q10,2020-06-04,2020-05-01,-34.0
OOS_2020_COVID,2020-02-01,2020-06-30,spread_binary_vol63_above_is_q90,2020-05-01,2020-05-01,0.0
OOS_2020_COVID,2020-02-01,2020-06-30,combo_vol_and_or_spread21_q10,2020-04-13,2020-05-01,18.0
OOS_2020_COVID,2020-02-01,2020-06-30,combo_vol_and_or_spread63_q10,2020-05-01,2020-05-01,0.0
OOS_2022_rates,2022-01-01,2022-12-31,internal_binary_vol63_above_is_q90,2022-06-03,2022-06-03,0.0
OOS_2022_rates,2022-01-01,2022-12-31,external_binary_market_vol63_above_is_q90,2022-02-28,2022-06-03,95.0
OOS_2022_rates,2022-01-01,2022-12-31,combo_vol63_q90_both,2022-06-03,2022-06-03,0.0
OOS_2022_rates,2022-01-01,2022-12-31,spread_binary_trailing21_below_is_q10,2022-01-04,2022-06-03,150.0
OOS_2022_rates,2022-01-01,2022-12-31,spread_binary_trailing63_below_is_q10,2022-07-22,2022-06-03,-49.0
OOS_2022_rates,2022-01-01,2022-12-31,spread_binary_vol63_above_is_q90,2022-03-04,2022-06-03,91.0
OOS_2022_rates,2022-01-01,2022-12-31,combo_vol_and_or_spread21_q10,2022-01-04,2022-06-03,150.0
OOS_2022_rates,2022-01-01,2022-12-31,combo_vol_and_or_spread63_q10,2022-06-03,2022-06-03,0.0
