sample,feature,n_breaks,rss,bic,lwz_like,break_indices,break_dates
is_2015_2019,strategy_total_r,0,0.04691779517402527,-376.6214998316599,-375.14684461810697,,
is_2015_2019,strategy_total_r,1,0.04579045730454698,-373.94586695116027,-370.99655652405437,6,2015-12-31
is_2015_2019,strategy_total_r,2,0.04289254254086872,-373.4872806668562,-369.06331502619736,"6,15","2015-12-31,2016-09-30"
is_2015_2019,strategy_vol_3m,0,0.1759913622588169,-305.23145408196245,-303.75679886840953,,
is_2015_2019,strategy_vol_3m,1,0.13237083067202177,-316.623160903746,-313.6738504766401,46,2019-04-30
is_2015_2019,strategy_vol_3m,2,0.09577053814549277,-330.11139589603886,-325.68743025538004,"18,46","2016-12-31,2019-04-30"
is_2015_2019,strategy_vol_6m,0,0.11122857735857405,-330.0092232034679,-328.534567989915,,
is_2015_2019,strategy_vol_6m,1,0.07016776984900203,-350.8979448075855,-347.9486343804796,17,2016-11-30
is_2015_2019,strategy_vol_6m,2,0.03608375902401047,-382.8214561586521,-378.3974905179933,"17,46","2016-11-30,2019-04-30"
is_2015_2019,market_vol_3m,0,0.2465081398697913,-287.0356087379712,-285.56095352441827,,
is_2015_2019,market_vol_3m,1,0.2053051226257477,-292.92310260306533,-289.97379217595943,39,2018-09-30
is_2015_2019,market_vol_3m,2,0.14844881650908773,-306.44399908148495,-302.0200334408261,"6,39","2015-12-31,2018-09-30"
is_2015_2019,market_vol_6m,0,0.12956450938477726,-321.7692789828669,-320.294623769314,,
is_2015_2019,market_vol_6m,1,0.07850045184973659,-344.83831892213027,-341.88900849502437,39,2018-09-30
is_2015_2019,market_vol_6m,2,0.041318351686604984,-375.50640682977894,-371.0824411891201,"11,39","2016-05-31,2018-09-30"
is_2015_2019,momentum_factor_r,0,0.034180688889227796,-393.7252545924885,-392.2505993789356,,
is_2015_2019,momentum_factor_r,1,0.0333525621077995,-391.06068739783177,-388.11137697072587,21,2017-03-31
is_2015_2019,momentum_factor_r,2,0.031646833355097014,-389.9065144927117,-385.4825488520529,"6,20","2015-12-31,2017-02-28"
is_2015_2019,momentum_factor_trailing_3m,0,0.07763968198260895,-349.4226917718992,-347.9480365583463,,
is_2015_2019,momentum_factor_trailing_3m,1,0.07042998030458728,-350.6965279143264,-347.7472174872205,7,2016-01-31
is_2015_2019,momentum_factor_trailing_3m,2,0.05354130267368481,-361.51248953294214,-357.0885238922833,"7,22","2016-01-31,2017-04-30"
is_2015_2019,momentum_factor_trailing_6m,0,0.1351229330152297,-319.5009506665201,-318.0262954529672,,
is_2015_2019,momentum_factor_trailing_6m,1,0.10620663638758031,-328.51507928182053,-325.56576885471463,25,2017-07-31
is_2015_2019,momentum_factor_trailing_6m,2,0.05566954641844492,-359.40757569797654,-354.9836100573177,"8,22","2016-02-29,2017-04-30"
is_2015_2019,momentum_factor_vol_3m,0,0.14210130924880948,-316.78176610669425,-315.3071108931413,,
is_2015_2019,momentum_factor_vol_3m,1,0.0948210255796153,-334.63843211824275,-331.68912169113685,46,2019-04-30
is_2015_2019,momentum_factor_vol_3m,2,0.0779001450860613,-341.2638694114289,-336.8399037707701,"14,46","2016-08-31,2019-04-30"
is_2015_2019,momentum_factor_vol_6m,0,0.0843115521399187,-344.97091938222485,-343.4962641686719,,
is_2015_2019,momentum_factor_vol_6m,1,0.05228081607813442,-366.7879625732137,-363.8386521461078,47,2019-05-31
is_2015_2019,momentum_factor_vol_6m,2,0.020776431465712383,-412.6307323906498,-408.206766749991,"17,46","2016-11-30,2019-04-30"
